class,Cap_averages,press_averages,ax_averages,ay_averages,az_averages,gx_averages,gy_averages,gz_averages,mx_averages,my_averages,mz_averages,Cap_variances,press_variances,ax_variances,ay_variances,az_variances,gx_variances,gy_variances,gz_variances,mx_variances,my_variances,mz_variances,Cap_std_deviations,press_std_deviations,ax_std_deviations,ay_std_deviations,az_std_deviations,gx_std_deviations,gy_std_deviations,gz_std_deviations,mx_std_deviations,my_std_deviations,mz_std_deviations,Cap_kurtosis,press_kurtosis,ax_kurtosis,ay_kurtosis,az_kurtosis,gx_kurtosis,gy_kurtosis,gz_kurtosis,mx_kurtosis,my_kurtosis,mz_kurtosis,Cap_skewness,press_skewness,ax_skewness,ay_skewness,az_skewness,gx_skewness,gy_skewness,gz_skewness,mx_skewness,my_skewness,mz_skewness,times
2,135.1578947,30.47368421,0.102105263,0.133157895,0.953157895,-33.57736842,1.237894737,2.964210526,0.596842105,-0.052631579,-0.44631579,2455.584795,1042.374269,6.19883E-05,0.029722807,0.00325614,1843.012587,2.402206433,17.81155906,0.000145029,0.000487135,0.001957895,49.55385752,32.28582149,0.007873265,0.172403037,0.0570626,42.93032247,1.549905298,4.22037428,0.012042809,0.022071124,0.044248104,0.761529794,0.106020172,-1.208115197,1.302478417,2.801715309,-0.985736039,1.489918875,-0.900080226,2.438410988,1.999177568,3.026675418,1.031125348,0.943201775,-0.410216685,1.607169723,-1.817878696,-0.916686355,1.321085673,0.884507098,1.540401378,-1.671480932,1.944119755,19
2,130.4166667,35.91666667,0.108333333,0.155,0.9425,-47.01666667,1.230833333,3.271666667,0.599166667,-0.058333333,-0.4325,2268.628788,1062.992424,0.00039697,0.0339,0.005765909,2994.856442,4.116899242,45.87234242,0.000244697,0.000942424,0.002838636,47.63012479,32.60356459,0.019924098,0.184119526,0.075933583,54.72528157,2.029014352,6.772912403,0.015642793,0.030698929,0.053278855,-0.879885303,-1.562622085,3.505949537,0.020606092,4.309637685,-1.212083599,-0.46094346,-0.500297941,3.80352922,1.459463819,2.700663739,0.207074696,0.144839002,1.681189409,1.251749038,-2.073270044,-0.785125277,-0.408787833,0.159827846,1.702482358,-1.477684907,1.811488097,12
2,131.5454545,34.18181818,0.102727273,0.173636364,0.937272727,-55.39272727,1.614545455,4.511818182,0.600909091,-0.060909091,-0.43,2880.272727,724.9636364,4.18182E-05,0.036265455,0.004841818,3658.163942,3.193867273,49.07337636,0.000269091,0.000749091,0.00334,53.66817239,26.92514877,0.006466698,0.190434909,0.069583175,60.48275739,1.787139411,7.005239208,0.016403991,0.027369525,0.057792733,1.232176708,-1.093188461,-0.207939509,-0.61549393,1.199138019,-1.36560623,-1.073524336,-1.403186718,2.314265279,0.886727464,0.587746662,1.156098396,0.1042633,-0.291347763,0.969275421,-1.5507286,-0.658249878,-0.503882161,0.134331282,1.651707513,-1.3863954,1.37147826,11
2,118.8888889,65,0.146666667,0.15,0.907777778,-66.11666667,2.115555556,5.408888889,0.6,-0.06,-0.434444444,1092.361111,1186.75,0.01255,0.0289,0.036894444,4098.15155,20.23272778,47.76726111,0.000275,0.000725,0.002852778,33.05088669,34.44923802,0.112026783,0.17,0.192079266,64.01680678,4.498080455,6.911386338,0.016583124,0.026925824,0.053411401,-1.454301876,0.536880258,8.07787178,-0.809402084,7.624778326,-1.712805374,2.929899024,-1.818713699,4.708382527,2.450823849,3.638309258,-0.204474727,-0.546975181,2.807178952,0.979987497,-2.684314379,-0.37023663,0.059453017,0.411188625,2.114495144,-1.580697263,1.944008983,9
2,129.6428571,38.78571429,0.079285714,0.148571429,0.94,-44.83,0.63,2.463571429,0.595714286,-0.056428571,-0.441428571,1993.478022,1191.873626,0.001976374,0.035505495,0.007630769,3355.457,23.73092308,50.22844011,0.000257143,0.000870879,0.002474725,44.64838208,34.5235228,0.044456424,0.188429017,0.087354274,57.92630663,4.871439528,7.087202559,0.016035675,0.029510661,0.049746611,-0.361731238,-1.508061189,8.115971783,0.570225973,5.030677606,-0.463517899,6.795025686,-0.875491742,4.164465164,2.37137959,2.070286089,0.721311766,0.262815904,-2.720972183,1.455266757,-2.051804248,-1.14085572,-2.405884977,0.761033968,2.0040786,-1.83305406,1.769893063,14
2,109.4090909,39.13636364,0.1,0.14,0.936363636,-51.35863636,1.286363636,4.159545455,0.597272727,-0.052727273,-0.444545455,726.538961,1101.837662,0.000457143,0.026609524,0.008948052,3879.549822,36.44529091,51.72517597,0.000220779,0.000601732,0.001768831,26.95438668,33.19394014,0.021380899,0.163124259,0.094594143,62.28603232,6.036993532,7.192021689,0.014858641,0.024530218,0.042057475,-0.712448756,-1.50588472,2.853824013,0.377805491,3.837872847,-1.241620042,8.474576722,-1.281697389,7.151927154,3.662201292,2.802311445,0.106745987,0.169943888,-1.543433672,1.369035092,-2.02788892,-0.796865652,-2.265164836,0.422635209,2.433125646,-1.952370993,1.863508214,22
2,123.9375,43.625,0.08,0.195625,0.915,-75.84875,2.741875,6.36875,0.59625,-0.05875,-0.4325,1332.595833,1140.783333,0.008093333,0.029199583,0.01336,4122.461572,20.03372292,63.578425,0.000185,0.000731667,0.00246,36.50473714,33.77548421,0.089962955,0.170878856,0.115585466,64.20639821,4.475904704,7.973608029,0.013601471,0.027049338,0.049598387,-0.325009996,-1.645127382,14.35780927,-0.760374314,8.88220926,-1.8995338,3.808587817,-0.124727142,1.017828045,0.014054366,1.142591297,0.83096308,-0.347573544,-3.714402493,0.787300012,-2.610135731,0.001694255,-1.076249688,-0.539846756,0.970823941,-1.051699354,1.418127117,16
2,114.1818182,36.22727273,0.099090909,0.186818182,0.893636364,-74.93863636,1.413181818,6.525454545,0.599090909,-0.062272727,-0.428181818,1932.632035,819.0411255,0.001151515,0.026127489,0.015452814,4398.187708,78.96868939,67.50358788,0.000294372,0.000675541,0.00252987,43.96171101,28.61889455,0.033933982,0.161639999,0.124309347,66.31883373,8.886432884,8.216056711,0.017157281,0.025991174,0.050297814,-1.225882216,-1.058207129,10.49407767,-1.29066722,6.993849039,-1.364580245,11.45958695,-1.100338851,1.212013795,1.419473856,1.549659664,0.509808483,0.223140493,-2.552368579,0.509007897,-2.480487852,-0.454474802,-2.617803163,-0.062602774,1.212141872,-1.390263182,1.532188016,22
2,128.7272727,36.18181818,0.111818182,0.15,0.952727273,-47.99636364,3.469090909,4.268181818,0.600909091,-0.059090909,-0.436363636,4017.418182,638.3636364,0.000436364,0.0272,0.004161818,3535.219585,17.45420909,48.22553636,0.000349091,0.000869091,0.002925455,63.38310644,25.26585911,0.020889319,0.164924225,0.064512155,59.45771258,4.177823487,6.94446084,0.018683975,0.029480348,0.054087471,-1.260374623,-1.73212759,-0.165190972,0.668006596,3.739313193,-0.882584783,1.092643586,-1.445076639,4.898139106,2.432847231,3.617476688,0.470665328,-0.304403985,0.511292671,1.383151542,-1.833523446,-0.9845667,1.039006744,0.457514148,2.201269964,-1.682561913,1.943693754,11
2,136,25.75,0.095625,0.189375,0.918125,-78.500625,2.606875,6.7925,0.6025,-0.061875,-0.43125,1246.8,731.8,0.000519583,0.036472917,0.005202917,4575.754686,24.90355625,53.19891333,0.000246667,0.000882917,0.002918333,35.31005523,27.05180216,0.022794371,0.190978838,0.072131246,67.64432486,4.990346306,7.293758519,0.015705625,0.029713914,0.054021601,-0.576345632,-0.879968586,2.041203408,-1.159966081,-0.106953942,-1.45611393,2.948341767,-1.103253232,0.910024964,0.267070675,-0.292071903,-0.132757015,0.694159914,-1.385470895,0.670715939,-0.968771993,-0.264055554,-0.515042383,-0.072941715,1.298012653,-1.186055979,1.07587071,16
2,143.2631579,39.47368421,0.101052632,0.146842105,0.938421053,-54.06842105,2.25,3.488947368,0.601578947,-0.056315789,-0.437894737,2933.760234,1212.374269,0.000332164,0.031645029,0.007625146,4744.629681,21.56232222,74.58409883,0.000336257,0.000857895,0.002650877,54.16419697,34.81916525,0.01822536,0.177890498,0.087322083,68.88127235,4.643524763,8.636208591,0.01833732,0.02928984,0.05148667,-1.35674838,-1.692192636,2.695258622,0.445988588,4.398831248,-0.471939326,-0.198097942,-1.119895201,4.091298121,2.835818907,2.581560324,0.235267134,0.10754148,-1.342621484,1.371011943,-2.036145251,-1.093854033,0.329414944,0.680280051,2.157521985,-1.88942759,1.881813471,19
2,124.2,18.26666667,0.098,0.109333333,0.954666667,-41.09266667,0.774,3.584666667,0.592,-0.045333333,-0.452,1568.171429,591.4952381,0.000345714,0.01886381,0.004740952,4443.012721,26.59058286,43.53114095,0.000102857,0.000326667,0.000974286,39.6001443,24.32067512,0.018593394,0.137345584,0.068854574,66.65592788,5.15660575,6.597813346,0.010141851,0.018073922,0.03121355,0.225734084,0.790497238,4.13693369,4.074268271,1.744488743,0.635799577,2.900214813,0.164842913,3.39031339,5.987271787,8.949669666,0.516612784,1.3760875,1.258573061,2.025437011,-1.208796091,-1.488348683,-0.495752805,1.323028412,1.441096357,-2.324931566,2.880761413,15
2,120.5789474,28.36842105,0.127894737,0.141578947,0.971578947,-61.16684211,2.347368421,5.805263158,0.594736842,-0.052631579,-0.434210526,942.3684211,718.4678363,0.011384211,0.024614035,0.006836257,4609.734478,9.953909357,48.8114152,0.000137427,0.000520468,0.001892398,30.69801982,26.80425034,0.106696816,0.156888607,0.082681662,67.89502543,3.154981673,6.986516672,0.011722922,0.022813764,0.043501697,1.173308282,-1.167550906,17.33391902,1.13133363,5.931574905,-0.709550621,5.776000144,-1.153573408,3.646949645,3.534842786,3.000327168,0.654967896,0.465303831,4.084487061,1.477178141,1.700061131,-0.803852597,1.693768112,0.355389502,1.689190868,-2.022120827,1.930638223,19
2,135.6666667,28.91666667,0.095,0.148333333,0.9375,-50.72583333,2.401666667,3.5925,0.595833333,-0.053333333,-0.4325,2294.424242,870.2651515,0.0003,0.032942424,0.005329545,4845.867499,7.148415152,64.36329318,0.000335606,0.000824242,0.003202273,47.90014867,29.5002568,0.017320508,0.18150048,0.073003736,69.61226544,2.673652025,8.022673693,0.018319554,0.028709623,0.056588627,-1.268966826,-1.66210115,0.234343434,-0.220716412,1.190887912,-0.750736779,0.014972159,-0.340103773,2.125328537,1.847685986,1.980198471,0.039354058,0.394151926,-0.818787655,1.225838605,-1.30578357,-1.086256468,-0.533928988,1.099177614,1.49071615,-1.672937767,1.739422152,12
2,131.7692308,20.07692308,0.097692308,0.127692308,0.93,-34.53692308,-0.953076923,2.632307692,0.597692308,-0.053846154,-0.437692308,3385.358974,384.2435897,0.001402564,0.029652564,0.00675,2705.222406,130.4229731,45.92125256,0.000202564,0.000658974,0.002019231,58.18383774,19.60213228,0.037450822,0.172199199,0.082158384,52.01175258,11.42028778,6.776522158,0.014232502,0.025670496,0.044935852,-1.004739817,-1.224082714,9.640168274,1.653626939,2.586143908,0.278633832,9.038918296,-0.076799851,7.010126582,2.902786223,5.509724906,0.169112852,0.528211545,-2.936741391,1.70093809,-1.870002267,-1.396800297,-2.578155046,1.047529827,2.527481323,-1.799078339,2.373869803,13
2,133.9166667,22.83333333,0.046666667,0.14,0.94,-52.79,-0.118333333,4.2125,0.5975,-0.05,-0.433333333,1289.174242,543.6060606,0.016551515,0.019909091,0.015272727,3949.646855,77.29703333,47.86229318,0.000311364,0.000690909,0.002551515,35.90507266,23.31536104,0.128652692,0.141099578,0.123582876,62.84621591,8.791873141,6.918257959,0.017645499,0.02628515,0.050512525,-0.435362699,-1.232291669,10.24305242,0.521795542,7.453279478,-1.107962814,7.772764253,-0.601635858,2.061569609,1.367128347,2.426372566,0.419763946,0.607478329,-3.152897162,1.197172595,-2.584616055,-0.824015889,-2.57049221,0.62317513,1.526412288,-1.513762495,1.798758982,12
2,140.4615385,8.538461538,0.089230769,0.171538462,0.899230769,-44.41461538,-0.314615385,2.463846154,0.6,-0.052307692,-0.434615385,1871.602564,85.6025641,0.001641026,0.038147436,0.022807692,3684.25631,81.85436026,57.79234231,0.00025,0.000835897,0.00264359,43.26202219,9.252165374,0.040509575,0.195313686,0.151022158,60.69807501,9.047339955,7.602127486,0.015811388,0.028911891,0.051415851,-1.216080562,-0.864531183,10.50896791,-1.014882326,7.034559463,0.591083585,9.093567725,-0.260899798,2.558545455,1.526771288,2.039168118,-0.080438703,0.718682162,-3.071927379,0.94339641,-2.548919191,-1.437165079,-2.760464822,0.164405921,1.494894894,-1.611286235,1.758175954,13
